customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;TotalIntlCalls;TotalDayCalls;TotalEveMinutes;TotalIntlMinutes;TotalDayMinutes;TotalEveCalls;NumbervMailMessages;CustomerServiceCalls;InternationalPlan;TotalCall;VoiceMailPlan;TotalNightCalls;TotalNightMinutes;Churn
3841-NFECX;Female;1;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);96,35;6766,95;5;71;214,8;13;208,9;92;0;1;No;277;No;108;247,9;No
4929-XIHVW;Male;1;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);95,5;181,65;5;127;163,4;9,1;187,7;148;0;0;No;374;No;94;196;No
6827-IEAUQ;Female;0;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;66,15;1874,45;2;96;104,9;11,2;128,8;71;0;1;No;298;No;128;141,1;No
7310-EGVHZ;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);20,2;20,2;5;88;247,6;12,3;156,6;75;0;3;No;286;No;115;192,3;No
3413-BMNZE;Male;1;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);45,25;45,25;6;70;307,2;13,1;120,7;76;0;4;No;255;No;99;203;No
6234-RAAPL;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);99,9;7251,7;6;67;167,2;9,7;122,2;62;0;1;No;234;No;98;194,8;No
6047-YHPVI;Male;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,7;316,9;3;114;231,3;8,8;159,1;117;0;5;No;330;No;91;143,2;Yes
6572-ADKRS;Female;0;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);74,8;3548,3;4;139;280,9;13,8;196,4;90;27;1;No;309;Yes;75;89,3;No
5380-WJKOV;Male;0;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106,35;3549,25;;;;;;;;;;;;;;Yes
8168-UQWWF;Female;0;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);97,85;1105,4;;;;;;;;;;;;;;Yes
8865-TNMNX;Male;0;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;49,55;475,7;3;114;218,2;8,1;190,7;111;0;3;No;352;No;121;129,6;No
9489-DEDVP;Female;0;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic);69,2;4872,35;5;106;224,5;8,9;153,3;117;0;2;No;382;No;152;273,4;No
9867-JCZSP;Female;0;Yes;Yes;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,75;418,25;5;66;212,8;10;189,7;65;33;1;No;245;Yes;108;165,7;No
4671-VJLCL;Female;0;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);79,85;4861,45;4;117;192,4;7,9;214;89;0;1;No;310;No;99;242,6;No
4080-IIARD;Female;0;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;76,2;981,45;6;112;167,2;10,8;194,8;85;0;1;No;265;No;61;100,3;No
3714-NTNFO;Female;0;No;No;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,5;3906,7;5;87;281,1;11;206,7;83;0;3;No;255;No;77;158,5;No
5948-UJZLF;Male;0;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;49,25;97;2;90;159,5;13;224,4;88;0;1;No;255;No;74;192,8;No
7760-OYPDY;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,65;144,15;3;83;219,7;9,7;151;116;0;5;No;334;No;127;203,9;Yes
7639-LIAYI;Male;0;No;No;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);79,75;4217,8;3;105;151,3;10,5;188;107;12;2;No;349;Yes;132;201,9;No
2954-PIBKO;Female;0;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);64,15;4254,1;5;96;175,2;12;259,3;97;0;3;No;237;No;36;222,4;No
8012-SOUDQ;Female;1;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;90,25;3838,75;6;109;137,6;8,3;172,9;94;28;1;No;319;Yes;109;203,8;No
9420-LOJKX;Female;0;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,1;1426,4;3;129;75,3;5,8;198,4;77;30;3;No;289;Yes;77;181,2;Yes
6575-SUVOI;Female;1;Yes;No;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);69,5;1752,65;5;116;130,4;7,3;156,4;114;0;1;Yes;345;No;109;207,3;No
7495-OOKFY;Female;1;Yes;No;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);80,65;633,3;;;;;;;;;;;;;;Yes
4667-QONEA;Female;1;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);74,85;4456,35;4;117;239,7;10,6;155,1;93;0;0;No;347;No;133;208,8;No
1658-BYGOY;Male;1;No;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,45;1752,55;;;;;;;;;;;;;;Yes
8769-KKTPH;Female;0;Yes;Yes;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);99,65;6311,2;3;104;143,4;11,6;128,1;127;24;1;No;333;Yes;98;191;No
5067-XJQFU;Male;1;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;108,45;7076,35;3;73;170,2;12,5;196,6;79;0;1;No;235;No;79;194,3;No
3957-SQXML;Female;0;Yes;Yes;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24,95;894,3;2;63;191,6;13,2;194,9;90;31;2;No;286;Yes;129;153;No
5954-BDFSG;Female;0;No;No;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);107,5;7853,7;3;63;134,2;13,3;44,9;82;34;1;No;267;Yes;118;168,4;No
0434-CSFON;Female;0;Yes;No;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,5;4707,1;2;114;215,8;7,8;262,8;130;30;0;No;334;Yes;88;154,8;No
1215-FIGMP;Male;0;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89,9;5450,7;3;70;252,7;12,3;211,2;122;0;0;No;299;No;104;225,8;No
0526-SXDJP;Male;0;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);42,1;2962;;;;;;;;;;;;;;No
0557-ASKVU;Female;0;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);54,4;957,1;19;112;72,9;9,5;183;99;0;0;No;308;No;78;181,8;No
5698-BQJOH;Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;94,4;857,25;;;;;;;;;;;;;;Yes
5122-CYFXA;Female;0;No;No;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;75,3;244,1;6;103;137,3;7,7;110,4;102;0;2;No;318;No;105;189,6;No
8627-ZYGSZ;Male;0;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;78,9;3650,35;5;69;225,1;9,6;204;110;0;1;No;270;No;85;240,3;No
3170-NMYVV;Female;0;Yes;Yes;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,15;930,9;5;76;277,1;15,5;124,3;112;0;3;No;311;No;115;250,7;No
2273-QCKXA;Male;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;49,05;49,05;4;73;155,5;14,7;134,3;100;0;3;No;248;No;68;102,1;No
0731-EBJQB;Female;0;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;20,4;1090,65;6;109;258,2;6,3;190;84;0;0;No;301;No;102;181,5;No
1891-QRQSA;Male;1;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);111,6;7099;4;109;127,5;14,5;223,2;86;0;3;No;285;No;83;289,3;No
8028-PNXHQ;Male;0;Yes;Yes;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24,25;1424,6;3;82;187,5;11,5;119;108;0;1;No;291;No;97;189,3;No
2673-CXQEU;Female;1;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;110,5;6139,5;3;104;152,4;9,4;134,4;95;0;1;No;283;No;80;236,5;No
6416-JNVRK;Female;0;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);55,65;2688,85;6;95;136,7;14,2;84,8;63;0;2;No;314;No;148;250,5;No
5590-ZSKRV;Female;0;Yes;Yes;8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;54,65;482,25;5;105;201,5;10,3;226,1;107;0;1;No;316;No;98;246,2;No
0191-ZHSKZ;Male;1;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;74,75;2111,3;10;121;31,2;12,6;212;115;0;3;No;327;No;78;293,3;No
3887-PBQAO;Female;0;Yes;Yes;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);25,9;1216,6;3;78;257,2;16,2;171,1;83;0;1;No;257;No;92;91,6;No
5919-TMRGD;Female;0;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79,35;79,35;3;101;169,1;13,8;178,9;110;0;4;No;318;No;100;148,6;Yes
8108-UXRQN;Female;0;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;50,55;565,35;;;;;;;;;;;;;;No
9191-MYQKX;Female;0;Yes;No;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,15;496,9;4;109;181;11,7;300,3;100;0;0;No;286;No;73;270,1;Yes
9919-YLNNG;Female;0;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103,8;4327,5;4;94;195;8,3;176,8;75;25;0;No;289;Yes;116;213,5;No
0318-ZOPWS;Female;0;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20,15;973,35;6;80;217,3;14,7;220;102;37;3;No;262;Yes;71;152,8;No
4445-ZJNMU;Male;0;No;No;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,3;918,75;2;103;254,3;10,5;170,5;77;0;2;No;322;No;138;197,3;No
4808-YNLEU;Female;0;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);62,15;2215,45;6;128;162,5;14,5;146,3;80;30;0;No;323;Yes;109;129,3;No
1862-QRWPE;Female;0;Yes;Yes;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,65;1057;5;64;223,7;10;130,8;116;0;1;No;294;No;108;227,8;No
3016-KSVCP;Male;0;Yes;No;29;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;33,75;1009,25;;;;;;;;;;;;;;No
4767-HZZHQ;Male;0;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);82,05;2570,2;9;94;271,8;11,1;140,4;92;0;1;No;304;No;108;188,3;No
2424-WVHPL;Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;74,7;74,7;2;102;166,8;9,4;126,3;85;0;3;No;327;No;135;187,8;No
7233-PAHHL;Male;0;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84;5714,25;7;124;146,9;9,9;178,5;141;0;1;No;375;No;102;217,1;No
6067-NGCEU;Female;0;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);111,05;7107;5;145;154,8;14,1;205,2;95;0;3;No;325;No;77;191,4;No
9848-JQJTX;Male;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);100,9;7459,05;2;97;183,5;13;232,8;111;31;0;No;321;Yes;111;206,8;No
8637-XJIVR;Female;0;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;78,95;927,35;;;;;;;;;;;;;;Yes
0278-YXOOG;Male;0;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;21,05;113,85;7;117;77,1;8,2;61,6;85;0;4;No;312;No;99;173;Yes
3212-KXOCR;Male;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);21;1107,2;4;82;282,2;10;124,8;98;0;2;No;264;No;78;311,5;No
4598-XLKNJ;Female;1;Yes;No;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98,5;2514,5;1;96;249,2;12,4;210,6;85;0;2;No;272;No;88;191,4;Yes
3679-XASPY;Female;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19,45;19,45;3;67;225,8;3,5;154;118;0;1;No;275;No;86;265,3;No
7123-WQUHX;Male;0;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic);95;3605,6;3;97;288,7;12,1;55,6;83;0;2;No;295;No;110;111,2;No
5386-THSLQ;Female;1;Yes;No;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic);45,55;3027,25;;;;;;;;;;;;;;No
3192-NQECA;Male;0;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110;7611,85;;;;;;;;;;;;;;Yes
6180-YBIQI;Male;0;No;No;5;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;24,3;100,2;;;;;;;;;;;;;;No
6728-DKUCO;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;104,15;7303,05;3;78;241,9;10,6;153,5;108;37;1;No;300;Yes;110;244,7;No
9750-BOOHV;Female;0;No;No;32;No;No phone service;DSL;Yes;No;No;No;No;No;One year;No;Mailed check;30,15;927,65;;;;;;;;;;;;;;No
8597-CWYHH;Male;0;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check;94,35;3921,3;3;100;189,6;11,1;109,8;104;0;1;No;293;No;85;206,7;No
2848-YXSMW;Male;0;Yes;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,4;1363,25;5;97;213;8,5;120,9;92;28;2;No;312;Yes;116;163,1;No
4355-HBJHH;Male;0;Yes;Yes;67;Yes;Yes;DSL;Yes;No;Yes;No;Yes;Yes;Two year;Yes;Electronic check;79,7;5293,4;;;;;;;;;;;;;;Yes
7492-TAFJD;Male;0;Yes;Yes;7;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Mailed check;38,55;280;;;;;;;;;;;;;;No
1131-SUEKT;Male;0;Yes;Yes;61;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);98,45;6145,2;2;108;196,9;10,3;181,5;87;0;1;No;317;No;119;187,2;No
9027-TMATR;Female;0;Yes;No;43;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;78,8;3460,3;4;107;127,8;9,9;92,7;86;28;3;No;286;Yes;86;225,6;No
5846-QFDFI;Female;0;Yes;Yes;33;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);88,6;2888,7;;;;;;;;;;;;;;No
1658-TJVOA;Female;1;No;No;6;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,1;450,9;3;80;213,6;11,9;221,2;104;0;4;No;280;No;89;291,8;No
9074-KGVOX;Male;0;Yes;Yes;50;No;No phone service;DSL;Yes;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);39,45;2021,35;;;;;;;;;;;;;;No
1016-DJTSV;Male;1;No;No;8;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,7;572,85;3;89;196,8;11,4;115,1;111;0;2;No;303;No;98;212,4;No
6121-TNHBO;Female;1;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic);83;5243,05;;;;;;;;;;;;;;No
6563-VNPMN;Female;1;No;No;45;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Bank transfer (automatic);85,7;3778,1;6;83;154;11,2;237,3;65;0;1;No;260;No;105;237;No
2188-SXWVT;Female;0;No;No;34;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Mailed check;55;1885,15;3;65;225,7;5,7;106,5;108;30;2;No;239;Yes;61;188,6;No
9609-BENEA;Male;0;Yes;No;35;Yes;Yes;DSL;No;Yes;No;Yes;Yes;No;One year;Yes;Electronic check;69;2441,7;;;;;;;;;;;;;;No
6663-JOCQO;Male;0;Yes;Yes;31;Yes;Yes;DSL;Yes;Yes;No;Yes;No;Yes;One year;Yes;Bank transfer (automatic);75,25;2344,5;14;79;182,6;4,2;186,9;105;0;1;No;289;No;90;143,1;No
7912-SYRQT;Female;0;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,1;552,95;;;;;;;;;;;;;;Yes
2580-ATZSQ;Female;0;Yes;Yes;65;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;No;Bank transfer (automatic);61,35;3874,1;8;92;187,7;14,4;168,6;107;0;2;No;304;No;95;216,5;No
0916-KNFAJ;Male;0;Yes;No;61;Yes;Yes;DSL;Yes;No;Yes;No;No;Yes;Two year;Yes;Mailed check;69,9;4226,7;;;;;;;;;;;;;;No
3807-BPOMJ;Female;0;Yes;No;55;Yes;No;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Electronic check;94,75;5276,1;2;82;190;10,8;196,5;89;0;2;No;274;No;99;163,2;No
6177-PEVRA;Female;0;No;No;48;Yes;No;DSL;Yes;Yes;No;No;No;No;Two year;No;Credit card (automatic);55,5;2627,35;2;121;147,9;6,7;224,4;97;0;2;No;296;No;74;183,8;No
6595-YGXIT;Male;1;No;No;25;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;88,95;2291,2;;;;;;;;;;;;;;Yes
2226-ICFDO;Female;0;Yes;Yes;72;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);85,9;6110,75;;;;;;;;;;;;;;No
3085-QUOZK;Female;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;43,95;43,95;;;;;;;;;;;;;;Yes
9860-LISIZ;Female;0;No;No;34;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,35;673,2;5;129;161,9;8,8;215,5;77;29;2;No;304;Yes;91;128,3;No
9070-BCKQP;Female;0;Yes;No;72;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);110,15;7881,2;;;;;;;;;;;;;;No
2523-EWWZL;Female;0;Yes;No;27;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;76,1;2093,4;4;73;246,4;4,1;146,5;65;19;1;No;257;Yes;114;199;No
9137-UIYPG;Female;0;Yes;Yes;35;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;106,9;3756,45;8;93;185,4;6,1;283,1;98;28;1;No;278;Yes;78;312,8;No
